STATION,NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN
MXM00076658,"COLIMA, MX",9/17/00,0,,74,,
MXM00076658,"COLIMA, MX",9/18/00,,,75,,
MXM00076658,"COLIMA, MX",9/19/00,0.94,,77,,
MXM00076658,"COLIMA, MX",9/20/00,0.71,,73,,
MXM00076658,"COLIMA, MX",9/21/00,0,,71,,
MXM00076658,"COLIMA, MX",9/22/00,3.49,,77,,
MXM00076658,"COLIMA, MX",9/23/00,0,,77,,
MXM00076658,"COLIMA, MX",9/24/00,,,76,,
MXM00076658,"COLIMA, MX",9/25/00,,,78,,
MXM00076658,"COLIMA, MX",9/26/00,,,76,,
MXM00076658,"COLIMA, MX",9/27/00,,,79,,
MXM00076658,"COLIMA, MX",9/28/00,0,,81,91,73
MXM00076658,"COLIMA, MX",9/29/00,,,77,,
MXM00076658,"COLIMA, MX",9/30/00,0,,77,,
MXM00076658,"COLIMA, MX",10/1/00,0,,77,,
MXM00076658,"COLIMA, MX",10/2/00,,,79,,
MXM00076658,"COLIMA, MX",10/3/00,0,,80,88,72
MXM00076658,"COLIMA, MX",10/4/00,0,,80,,
MXM00076658,"COLIMA, MX",10/5/00,0,,79,92,71
MXM00076658,"COLIMA, MX",10/6/00,,,79,87,70
MXM00076658,"COLIMA, MX",10/7/00,0.02,,77,89,70
MXM00076658,"COLIMA, MX",10/8/00,0,,80,,
MXM00076658,"COLIMA, MX",10/9/00,,,80,,
MXM00076658,"COLIMA, MX",10/10/00,0,,81,94,67
MXM00076658,"COLIMA, MX",10/11/00,0,,80,96,68
MXM00076658,"COLIMA, MX",10/12/00,0,,82,,
MXM00076658,"COLIMA, MX",10/13/00,0,,82,98,68
MXM00076658,"COLIMA, MX",10/14/00,0,,80,95,72
MXM00076658,"COLIMA, MX",10/15/00,,,76,,
MXM00076658,"COLIMA, MX",10/16/00,,,78,,
MXM00076658,"COLIMA, MX",10/17/00,0,,80,92,69
MXM00076658,"COLIMA, MX",10/18/00,0,,79,91,70
MXM00076658,"COLIMA, MX",10/19/00,0,,80,91,72
MXM00076658,"COLIMA, MX",10/20/00,0,,79,93,70
MXM00076658,"COLIMA, MX",10/21/00,0,,78,87,70
MXM00076658,"COLIMA, MX",10/22/00,0,,78,,
MXM00076658,"COLIMA, MX",10/23/00,,,79,,
MXM00076658,"COLIMA, MX",10/24/00,0,,80,93,70
MXM00076658,"COLIMA, MX",10/25/00,0,,80,91,72
MXM00076658,"COLIMA, MX",10/26/00,,,80,88,72
MXM00076658,"COLIMA, MX",10/27/00,,,80,,
MXM00076658,"COLIMA, MX",10/28/00,,,79,87,70
MXM00076658,"COLIMA, MX",10/29/00,,,79,,
MXM00076658,"COLIMA, MX",10/30/00,,,79,,
MXM00076658,"COLIMA, MX",10/31/00,,,78,86,72
MXM00076658,"COLIMA, MX",11/1/00,,,77,,
MXM00076658,"COLIMA, MX",11/2/00,0.81,,80,89,68
MXM00076658,"COLIMA, MX",11/3/00,0,,80,,
MXM00076658,"COLIMA, MX",11/4/00,0,,80,91,66
MXM00076658,"COLIMA, MX",11/5/00,,,79,,
MXM00076658,"COLIMA, MX",11/6/00,,,77,,
MXM00076658,"COLIMA, MX",11/7/00,,,77,,
MXM00076658,"COLIMA, MX",11/8/00,,,75,,
MXM00076658,"COLIMA, MX",11/9/00,,,76,,
MXM00076658,"COLIMA, MX",11/10/00,,,77,86,64
MXM00076658,"COLIMA, MX",11/11/00,,,76,85,65
MXM00076658,"COLIMA, MX",11/12/00,,,75,,
MXM00076658,"COLIMA, MX",11/13/00,,,78,,
MXM00076658,"COLIMA, MX",11/14/00,,,77,86,67
MXM00076658,"COLIMA, MX",11/15/00,,,76,84,70
MXM00076658,"COLIMA, MX",11/16/00,,,79,88,69
MXM00076658,"COLIMA, MX",11/17/00,,,81,,
MXM00076658,"COLIMA, MX",11/18/00,,,77,,
MXM00076658,"COLIMA, MX",11/19/00,,,79,,
MXM00076658,"COLIMA, MX",11/20/00,,,79,,
MXM00076658,"COLIMA, MX",11/21/00,,,84,,
MXM00076658,"COLIMA, MX",11/22/00,0,,83,98,70
MXM00076658,"COLIMA, MX",11/23/00,0,,81,98,68
MXM00076658,"COLIMA, MX",11/24/00,,,78,,
MXM00076658,"COLIMA, MX",11/25/00,,,79,,
MXM00076658,"COLIMA, MX",11/26/00,0,,77,90,66
MXM00076658,"COLIMA, MX",11/27/00,,,77,,
MXM00076658,"COLIMA, MX",11/28/00,,,77,,
MXM00076658,"COLIMA, MX",11/29/00,,,74,,
MXM00076658,"COLIMA, MX",11/30/00,,,84,,
MXM00076658,"COLIMA, MX",12/1/00,,,84,,
MXM00076658,"COLIMA, MX",12/2/00,0,,79,96,64
MXM00076658,"COLIMA, MX",12/3/00,0,,79,91,66
MXM00076658,"COLIMA, MX",12/4/00,,,81,,
MXM00076658,"COLIMA, MX",12/5/00,0,,79,95,64
MXM00076658,"COLIMA, MX",12/6/00,0,,78,95,63
MXM00076658,"COLIMA, MX",12/7/00,0,,79,93,63
MXM00076658,"COLIMA, MX",12/8/00,0,,79,91,63
MXM00076658,"COLIMA, MX",12/9/00,0,,78,91,63
MXM00076658,"COLIMA, MX",12/10/00,0,,76,90,64
MXM00076658,"COLIMA, MX",12/11/00,,,80,,
MXM00076658,"COLIMA, MX",12/12/00,0,,78,95,61
MXM00076658,"COLIMA, MX",12/13/00,0,,80,,
MXM00076658,"COLIMA, MX",12/14/00,0,,80,95,63
MXM00076658,"COLIMA, MX",12/15/00,,,80,,
MXM00076658,"COLIMA, MX",12/16/00,,,79,,
MXM00076658,"COLIMA, MX",12/17/00,0,,81,95,63
MXM00076658,"COLIMA, MX",12/18/00,,,80,,
MXM00076658,"COLIMA, MX",12/19/00,0,,79,98,56
MXM00076658,"COLIMA, MX",12/20/00,0,,79,95,59
MXM00076658,"COLIMA, MX",12/21/00,0,,78,92,59
MXM00076658,"COLIMA, MX",12/22/00,,,76,,
