STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/14/90,0.55,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/15/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/16/90,0.52,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/17/90,0.4,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/18/90,0.04,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/19/90,0.22,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/20/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/21/90,0.73,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/22/90,0.25,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/23/90,0.75,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/24/90,0.7,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/25/90,0.05,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/26/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/27/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/28/90,0.1,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/29/90,0.19,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,6/30/90,0.41,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/1/90,0.05,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/2/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/3/90,0.01,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/4/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/5/90,0.16,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/6/90,1.83,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/7/90,0.16,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/8/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/9/90,0.02,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/10/90,0.23,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/11/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/12/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/13/90,0.06,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/14/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/15/90,0.24,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/16/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/17/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/18/90,0.12,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/19/90,0.8,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/20/90,0.45,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/21/90,0.72,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/22/90,0.6,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/23/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/24/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/25/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/26/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/27/90,0.04,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/28/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/29/90,0.57,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/30/90,0.1,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,7/31/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/1/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/2/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/3/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/4/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/5/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/6/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/7/90,0.01,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/8/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/9/90,0.01,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/10/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/11/90,0,",,I"
GT000060100,"INSIVUMEH, GT",14.58,-90.52,1502,8/12/90,0.96,",,I"
