,Unnamed: 0,year,month,day,level_3,Title,Date,Price,Price_Change,Direction,Rate_of_Change
65,65,2007,4,8,Title,Tata Coffee expansion Nybot sees rise in its March trading volume People and places Fall in maize price leads Cbot soyabeans lower Honduras ups exports Ivorian coffee arrivals Coffee Board of India signs more export permits Vietnam focuses on quality issue Killing of civets a catastrophe ,4/8/07,1.0412,-0.0,0,0.0
66,66,2007,4,10,Title,Robusta prices set to increase over Vietnam harvest Brazil's coffee exports in March rise by 13% ,4/10/07,1.0299,-0.011299999999999866,0,-0.010852862082212703
67,67,2007,4,11,Title,"Milk product prices, April 11 Indian coffee prices set to drop say traders ",4/11/07,1.034,0.0040999999999999925,0,0.003980969026119033
68,68,2007,4,12,Title,"Kenya will raise macadamia yields via better husbandry Nestle makes $5.5bn purchase to expand nutrition unit Vietnam coffee prices to remain high as reserves dry up Global warming threatens world coffee production, analysts say ",4/12/07,1.0292,-0.0048000000000001375,0,-0.004642166344294137
69,69,2007,4,13,Title,Ivorian coffee arrivals up in opening months of 2007 UK soft drinks market turns to 'healthy' products Indonesian coffee exports to drop 65% in 2007 ,4/13/07,1.0536,0.0244000000000002,0,0.023707734162456473
70,70,2007,4,15,Title,Soyabean price fall undermines rival markets Global warming fear weather Trading briefs Coffee exports climb Rain heralds big coffee crop in El Salvador Vietnam awaits higher prices on London market Rain needed for Brazil's robusta ,4/15/07,1.0536,-0.0,0,0.0
71,71,2007,4,16,Title,"Brazilian coffee crop to fall 22% this season, exporter predicts Colombia's coffee exports and production on the rise Panama growers seek to increase speciality coffee exports ",4/16/07,1.061,0.007399999999999851,0,0.007023538344722713
72,72,2007,4,17,Title,"Ugandan coffee exports on the rise, say UCDA ",4/17/07,1.0257,-0.03529999999999989,0,-0.03327049952874636
73,73,2007,4,18,Title,"Milk product prices, April 18 Nicaraguan coffee exports set to slump, officials say ",4/18/07,1.0333,0.007600000000000051,0,0.007409573949497953
74,74,2007,4,19,Title,"UK soft drinks market turns healthier Jamaica coffee sector to be privatised as production increases Bearish coffee prices no cause for concern, say ICO ",4/19/07,1.0324,-0.0009000000000001229,0,-0.0008709958385755568
75,75,2007,4,20,Title,"Rwandan coffee production lower in 2007, forecasts suggest ",4/20/07,1.0293,-0.0030999999999998806,0,-0.0030027121270824104
76,76,2007,4,22,Title,Coffee exports climb Sugar prices cave under weight of high output Termites back in PNG Coffee privatisation ICO at ease with dipping global coffee pricing Rainfall allows SA maize costs to fall back Indonesia warns that coffee exports may crash Tea Board of Kenya steps up efforts to control global market New prognosis for Brazil's smaller coffee crop ,4/22/07,1.0293,-0.0,0,0.0
77,77,2007,4,23,Title,Nestlé announces sales growth of over 7% Vietnamese coffee exports to US rise sharply Brazil's official coffee forecast confirms sharp drop in production India details likely duty cuts on spices/softs under Asean deal ,4/23/07,1.0182,-0.01110000000000011,0,-0.010784027980180811
78,78,2007,4,24,Title,Nestlé sells out to Vietnamese newcomer Zambia's coffee output declines due to drought and low prices ,4/24/07,1.0126,-0.005600000000000049,0,-0.0054999017874681295
79,79,2007,4,25,Title,"Milk product prices, April 25 Vietnam coffee exports continue to soar says government California coffee company increases income after streamlining ",4/25/07,0.9945,-0.018099999999999894,0,-0.01787477779972338
80,80,2007,4,26,Title,New cotton pest in Brazil: Tanzania aims to replace aging coffee trees in Kilimanjaro area ,4/26/07,0.9863,-0.008200000000000096,0,-0.008245349421820106
81,81,2007,4,29,Title,Eco-friendly coffee WCE canola prices helped by gains in Europe Weather people and places Rwanda on course for lower coffee production ElSalvador fears coffee industry is doomed Vietnam ships bigger amount of coffee in 2006/07 Ivory Coast sees 30% fall in crop Jamaica puts its faith in process of privatisation ,4/29/07,0.9863,-0.0,0,0.0
82,82,2007,5,1,Title,Brazil records higher monthly green coffee exports ,5/1/07,0.9868,0.000500000000000056,0,0.0005069451485349853
83,83,2007,5,2,Title,"World dairy product prices, May 2 ",5/2/07,0.9868,-0.0,0,0.0
84,84,2007,5,3,Title,Starbucks and Ethiopia make another agreement on coffee CFC estimates 70% of world population relies on commodities ,5/3/07,0.9833,-0.0035000000000000586,0,-0.0035468179975679556
85,85,2007,5,6,Title,Better West African outlook hits cocoa price Starbucks and Ethiopia settle trademark dispute Dry weather will benefit Brazil's coffee harvest ,5/6/07,0.9833,-0.0,0,0.0
86,86,2007,5,8,Title,Starbucks aims to improve Ugandan coffee sector ,5/8/07,0.9926,0.009300000000000086,0,0.009457947727041683
87,87,2007,5,9,Title,"Milk product prices, May 9 Brazilian coffee exports on the rise according to industry council ",5/9/07,0.9921,-0.000500000000000056,0,-0.0005037275841225629
88,88,2007,5,10,Title,Nestle profits rise Colombia doubles organic area: ,5/10/07,1.0033,0.011200000000000099,0,0.011289184558008364
89,89,2007,5,13,Title,Vietnam runs dry of exportable coffee stocks Jamaica warns of new coffee berry borer crisis Salvadorian coffee fall Weather Battle between soyabeans and maize heats up People and places ,5/13/07,1.0033,-0.0,0,0.0
90,90,2007,5,14,Title,Colombian coffee production declines but exports rise ,5/14/07,0.9984,-0.0049000000000001265,0,-0.004883883185488016
91,91,2007,5,15,Title,Olam overcomes volatility through higher sugar deliveries ,5/15/07,1.0051,0.00670000000000015,0,0.00671073717948733
92,92,2007,5,16,Title,"Milk product prices, May 16 Global coffee production will fall next season, says ICO president ",5/16/07,1.0068,0.0016999999999998128,0,0.001691373992637362
93,93,2007,5,18,Title,Starbucks shares hit 18-month low Brazil's coffee crop forecast revised upwards by analysts ,5/18/07,1.0227,0.015900000000000025,0,0.015792610250298
94,94,2007,6,10,Title,Oilseed complex rises because of high demand Interest in sugar futures lifts Nybot trading Weather Brazil decides to subsidise smaller coffee crop Mexico/Guatemala unscathed after Barbara Indian coffee crop now looks set to be larger Vietnam's authorities demand pre-export checks ,6/10/07,1.0227,-0.0,0,0.0
95,95,2007,6,11,Title,Vietnam coffee officials want unified VAT on all coffee products Tata Coffee plans export hub in Africa Tata Coffee sets up African export hub to sell to EU and China ,6/11/07,1.0735,0.050799999999999956,0,0.04967243570939665
96,96,2007,6,12,Title,Overseas buyers blacklist Indonesian coffee exports from Aceh ,6/12/07,1.0791,0.005600000000000049,0,0.005216581276199395
97,97,2007,6,13,Title,Weihenstephan recruits new MD ,6/13/07,1.065,-0.014100000000000001,0,-0.013066444259104812
98,98,2007,6,14,Title,Vietnam seeks to boost tea exports via Rotterdam ,6/14/07,1.0643,-0.0006999999999999229,0,-0.000657276995305092
99,99,2007,6,15,Title,Turkish coffee - with Turkish cola ,6/15/07,1.0743,0.010000000000000009,0,0.009395847035610269
100,100,2007,6,17,Title,Poor Asian crops push robusta to nine-year high Mexican coffee sales Coffee crop revision Oversipply takes sugar down another notch Tata sets up in Africa Vicofa calls for VAT reform to encourage exports Ivorian corruption could return Buyers blacklist adulterating exporters in Aceh ,6/17/07,1.0743,-0.0,0,0.0
101,101,2007,6,18,Title,Ugandan coffee exports for May up 50% from last year ,6/18/07,1.0752,0.0008999999999999009,0,0.000837754817090106
102,102,2007,6,19,Title,Jamaican coffee farms receive compensation for storm damage ,6/19/07,1.08,0.0048000000000001375,0,0.004464285714285842
103,103,2007,6,20,Title,"Milk product prices, June 20 Indian coffee exports expected to decline in present season ",6/20/07,1.0703,-0.009700000000000042,0,-0.008981481481481519
104,104,2007,6,21,Title,Turkish coffee cola drink Starbucks agrees to recognise Ethiopia's coffees ,6/21/07,1.0837,0.013400000000000079,0,0.012519854246473025
105,105,2007,6,22,Title,Dry weather affects quality and yields of Brazil's coffee beans ,6/22/07,1.09,0.006299999999999972,0,0.005813416997323956
