STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/5/18,,,62,"H,,S",,,44,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/6/18,0.12,",,S",61,"H,,S",,,51,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/7/18,0.71,",,S",62,"H,,S",,,54,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/8/18,0.24,",,S",61,"H,,S",,,,
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/9/18,0.28,",,S",61,"H,,S",,,50,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/10/18,0,",,S",61,"H,,S",,,,
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/11/18,0.08,",,S",59,"H,,S",,,44,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/12/18,0.16,",,S",59,"H,,S",,,41,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/13/18,0,",,S",61,"H,,S",,,48,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/14/18,0.08,",,S",59,"H,,S",,,44,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/15/18,0.55,",,S",58,"H,,S",,,52,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/16/18,1.69,",,S",56,"H,,S",,,,
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/17/18,0.55,",,S",60,"H,,S",,,53,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/18/18,0.31,",,S",60,"H,,S",,,47,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/19/18,0.47,",,S",59,"H,,S",,,48,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/20/18,0.01,",,S",61,"H,,S",,,50,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/21/18,0,",,S",58,"H,,S",,,43,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/22/18,,,58,"H,,S",,,40,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/23/18,,,57,"H,,S",,,39,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/24/18,,,58,"H,,S",,,36,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/25/18,,,54,"H,,S",,,39,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/26/18,,,57,"H,,S",,,43,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/27/18,0.24,",,S",58,"H,,S",,,47,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,2/28/18,0.24,",,S",57,"H,,S",,,48,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,3/1/18,0.2,",,S",60,"H,,S",,,51,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,3/2/18,0.31,",,S",60,"H,,S",,,,
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,3/3/18,0.08,",,S",58,"H,,S",,,53,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,3/4/18,0.24,",,S",59,"H,,S",,,,
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,3/5/18,0.28,",,S",59,"H,,S",,,,
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,3/6/18,0.51,",,S",59,"H,,S",,,45,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,3/7/18,0,",,S",59,"H,,S",,,46,",,S"
PEM00084472,"GEN FAP ARMANDO REVOREDO IGLE, PE",-7.139,-78.489,2676.4,3/8/18,,,60,"H,,S",,,48,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/1/18,,,55,"H,,S",70,",,S",,
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/2/18,,,53,"H,,S",67,",,S",,
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/3/18,,,53,"H,,S",67,",,S",46,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/4/18,0.79,",,S",54,"H,,S",,,47,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/5/18,0.02,",,S",55,"H,,S",67,",,S",,
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/6/18,0.47,",,S",56,"H,,S",,,47,",,S"
PEM00084686,"TENIENTE ALEJANDRO VELASCO AS, PE",-13.536,-71.939,3310.1,1/7/18,0.59,",,S",54,"H,,S",,,46,",,S"
