Date,Price
7/22/11,2.3345
7/25/11,2.3338
7/26/11,2.358
7/27/11,2.3797
7/28/11,2.3421
7/29/11,2.3232
8/1/11,2.3297
8/2/11,2.3406
8/3/11,2.3635
8/4/11,2.3512
8/5/11,2.2971
8/8/11,2.3094
8/9/11,2.2885
8/10/11,2.2959
8/11/11,2.3085
8/12/11,2.3598
8/15/11,2.3564
8/16/11,2.403
8/17/11,2.4641
8/18/11,2.5754
8/19/11,2.582
8/22/11,2.6079
8/23/11,2.6025
8/24/11,2.6334
8/25/11,2.6543
8/26/11,2.6636
8/29/11,2.6968
8/30/11,2.7483
8/31/11,2.7689
9/1/11,2.7908
9/2/11,2.8175
9/6/11,2.7932
9/7/11,2.7359
9/8/11,2.7676
9/9/11,2.7747
9/12/11,2.6353
9/13/11,2.6588
9/14/11,2.6525
9/15/11,2.6175
9/16/11,2.5825
9/19/11,2.5754
9/20/11,2.5761
9/21/11,2.5543
9/22/11,2.4828
9/23/11,2.3766
9/26/11,2.2906
9/27/11,2.3307
9/28/11,2.3728
9/29/11,2.2981
9/30/11,2.2759
10/3/11,2.2614
10/4/11,2.2666
10/5/11,2.2616
10/6/11,2.2568
10/7/11,2.3255
10/10/11,2.2729
10/11/11,2.2719
10/12/11,2.2462
10/13/11,2.285
10/14/11,2.3741
10/17/11,2.4146
10/18/11,2.3443
10/19/11,2.339
10/20/11,2.3761
10/21/11,2.3358
10/24/11,2.4612
10/25/11,2.5151
10/26/11,2.3943
10/27/11,2.3893
10/28/11,2.3842
10/31/11,2.3821
11/1/11,2.3025
11/2/11,2.2725
11/3/11,2.2941
11/4/11,2.3175
11/7/11,2.3531
11/8/11,2.3771
11/9/11,2.3676
11/10/11,2.3539
11/11/11,2.378
11/14/11,2.4125
11/15/11,2.371
11/16/11,2.4332
11/17/11,2.4051
11/18/11,2.3724
11/21/11,2.3872
11/22/11,2.3906
11/23/11,2.3949
11/25/11,2.3877
11/28/11,2.3715
11/29/11,2.3286
11/30/11,2.3304
12/1/11,2.399
12/2/11,2.401
12/5/11,2.3623
12/6/11,2.413
12/7/11,2.3966
12/8/11,2.3379
12/9/11,2.3188
12/12/11,2.3302
12/13/11,2.2712
12/14/11,2.2864
12/15/11,2.2316
12/16/11,2.228
12/19/11,2.2084
12/20/11,2.233
12/21/11,2.2779
12/22/11,2.2471
12/23/11,2.2421
12/27/11,2.2421
12/28/11,2.2421
12/29/11,2.2421
12/30/11,2.2421
1/3/12,2.2766
1/4/12,2.3256
1/5/12,2.3159
1/6/12,2.2535
1/9/12,2.252
1/10/12,2.2656
1/11/12,2.2979
1/12/12,2.379
1/13/12,2.3772
1/17/12,2.2959
1/18/12,2.2964
1/19/12,2.2952
1/20/12,2.3092
1/23/12,2.309
1/24/12,2.25
1/25/12,2.2569
1/26/12,2.2296
1/27/12,2.2477
1/30/12,2.2336
1/31/12,2.2204
