,Unnamed: 0,Unnamed: 0.1,year,month,day,level_3,Date,Price,Price_Change,Direction,Rate_of_Change,Clean_Text
108,108,108,2007,6,26,Title,2007-06-26,1.06,-0.0181,0,-0.016788795102495133,indian traders want coffee output estimate reduced
109,109,109,2007,6,27,Title,2007-06-27,1.0595,-0.0004999999999999449,0,-0.00047169811320749524,milk product prices june indonesian residents deforest national park crop plantations colombian coffee farmers want emergency plan save sector
110,110,110,2007,6,28,Title,2007-06-28,1.0582,-0.0013000000000000787,0,-0.001226993865030749,mcdonald goes organic brazil subsidises bags coffee auction due currency rise
111,111,111,2007,6,29,Title,2007-06-29,1.0612,0.002999999999999892,0,0.0028350028350027324,indonesia launches cocoa board improve farmers conditions indian coffee farmers driven suicide crop failures low prices mcdonald organic milk deal praised
112,112,112,2007,7,1,Title,2007-07-01,1.0612,-0.0,0,0.0,coffee sales boost ignored warnings auction subsidy people places plummeting export demand weakens canola german black tea improved brazilian weather outlook depresses robusta colombian farmers ask government help premature ripening lowers brazilian quality
113,113,113,2007,7,2,Title,2007-07-02,1.0657,0.0045000000000001705,0,0.004240482472672607,vietnam coffee exports jump first half papua new guinea aiming boost cocoa production
114,114,114,2007,7,3,Title,2007-07-03,1.0602,-0.00550000000000006,0,-0.0051609270901755286,nepal coffee output up season
115,115,115,2007,7,4,Title,2007-07-04,1.0602,-0.0,0,0.0,mcdonald organic milk deal praised milk product prices july
116,116,116,2007,7,5,Title,2007-07-05,1.0543,-0.0059000000000000155,0,-0.005564987738162626,basf launches agcelence brand brazil rwandan coffee production set drop third next year fo licht forecasts decline global coffee output next season cameroon revises cocoa output upwards season
117,117,117,2007,7,6,Title,2007-07-06,1.0512,-0.003100000000000103,0,-0.002940339561794653,indian coffee exports decline due strength local currency vietnam host coffee cultural week improve international image brazilian income coffee exports up nearly third
118,118,118,2007,7,8,Title,2007-07-08,1.0512,-0.0,0,0.0,burundi coffee praise nybot trading volumes smash previous record surprise usda figure fuels hike soya price weather cameroon reviews size its cocoa crop fo licht adds forecasts lower coffee crop vietnam wants keep up coffee export drive farmers neglect coffee crop hurts rwanda
119,119,119,2007,7,9,Title,2007-07-09,1.0403,-0.01089999999999991,0,-0.010369101978690934,kenyan coffee board agree pay back debts farmers tanzania boost coffee production end decade china coffee consumption will soar italian roaster says
120,120,120,2007,7,10,Title,2007-07-10,1.037,-0.0033000000000000806,0,-0.003172161876381891,kenya export majority coffee output china under trade agreement
121,121,121,2007,7,11,Title,2007-07-11,1.0451,0.008099999999999996,0,0.007810993249758917,milk product prices july tanzanian cashews now duty free into switzerland uganda temporarily closes coffee processing plants
